Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2025-06-18 11:16:15 UTC,0.012620543,DEEP,0.570748188,SUI,0.027613708,SUI,,,,Sui Tx,3osZF8QHxcafEAWaGpvgj16B7LbLpqTa9TLtGxhmUJy3
2025-06-18 11:16:54 UTC,,,0.005849972,SUI,,,,,,Sui Tx,C7LZoTu47DL9N6QJshQaTa25jPNbzXbSg6VxSpVNy7kt
2025-06-18 11:17:06 UTC,,,0.008900156,SUI,,,,,,Sui Tx,HDE3URQVBpLmkvnecH7mKjxi4ffSstiwrUPY3k9FySCC
2025-06-18 11:18:20 UTC,0.00513315,SUI,207.365224,USDC,0.008752808,SUI,,,,Sui Tx,Az8hB9KR1rKWLrPyYscY1ZEu3paRxhzdjY891fzDYBvY
2025-06-18 11:19:00 UTC,0.04,DEEP,5.288015,USDC,0.004179228,SUI,,,,Sui Tx,DDtbqJUci4jvBzPy5bZLEkgB3Fh4iFj17Hnd9VimLP92
2025-06-18 11:21:53 UTC,209.504494,USDC,,,0.002125392,SUI,,,,Sui Tx,HU34mpNhcMqayyWBTadK3ScQw9c2VbirbfVfLgDF9rBG
2025-06-18 11:22:11 UTC,5.261212,USDC,0.039809629,DEEP,0.000835684,SUI,,,,Sui Tx,By5DadZ4tS2dGpwuZB7vrSUmCt9tKg4atGUVNDXcHWap
2025-06-19 13:41:20 UTC,,,0.775653204,SPRING_SUI,0.015868676,SUI,,,,Sui Tx,CnGhaLf1BxR2eAjn4sYr9ySNzjRRbsb9TX3mWtLAJgWA
2025-06-19 13:41:53 UTC,,,300.0,SPRING_SUI,0.015838732,SUI,,,,Sui Tx,7z345pYor239nstugJtAgperi9Kq2A46G3HN1hj76Yh9
2025-06-19 13:42:14 UTC,300.775653204,SPRING_SUI,305.193946863,SUI,0.020903296,SUI,,,,Sui Tx,Hv53tSkMNdjmgGdhThPPczC1pBtZv6ajNZ4ZA7KKwJHx
2025-06-19 13:42:44 UTC,305.7244132,SUI,,,0.0144132,SUI,,,,Sui Tx,BZkgAortEjfCBshkc4oVJMWmKj6VaTjs2mUxdvMashWL
2025-06-19 13:43:04 UTC,,,500.0,SPRING_SUI,0.014860612,SUI,,,,Sui Tx,ETYknrQPd3U5bxhoj8Es74c4ZTTKRaPhLdv7WgmHX9ag
2025-06-19 13:43:17 UTC,500.0,SPRING_SUI,507.358161683,SUI,0.0217225,SUI,,,,Sui Tx,8SC7QNHQMrTHsZqSGwureVwh3zPYQtnjmLhsegFF86Be
2025-06-19 13:43:42 UTC,507.7244132,SUI,,,0.0144132,SUI,,,,Sui Tx,6xkbiQkeo9za8Lb43MiUGpfdHWL5s4kKi26q2QHmr1Ki
2025-06-19 13:44:17 UTC,,,500.0,SPRING_SUI,0.014860612,SUI,,,,Sui Tx,2Js1SUPYwZH2LGDdjg5RSLesjukPMTsMob2SpWFBpx36
2025-06-19 13:44:31 UTC,500.000000001,SPRING_SUI,507.371162892,SUI,0.008726384,SUI,,,,Sui Tx,3g8knEBSCi8mXbLTtme52tY3bdaFdSzJSXoxuUc4WGnv
2025-06-19 13:44:45 UTC,459.848506432,SUI,,,0.012992,SUI,,,,Sui Tx,A3yMCsNUToNm3wwChov89cXiVoMrffWYutMQusyKHEBV
2025-06-19 13:45:45 UTC,,,400.0,SPRING_SUI,0.0148464,SUI,,,,Sui Tx,8mRhBvcqYaEzya7zy6GcUBu2PnD5cWS2NqLxUyM5UgzS
2025-06-19 13:46:33 UTC,400.0,SPRING_SUI,405.893785573,SUI,0.010125848,SUI,,,,Sui Tx,4MAjpXACCoB5xiBRrt5JXyVnHekFEyD1H5Uy74XovqKM
2025-06-19 13:48:22 UTC,126.002055775,SUI,352.52879,USDC,0.002055776,SUI,,,,Sui Tx,Dc9vpaPdRmxL9MCQAK8HQpZL92KtgU5wiHvPR4bF65Hq
2025-06-19 13:50:33 UTC,169.911941232,SUI,476.042736,USDC,0.00417558,SUI,,,,Sui Tx,38nJz1RKkvLw5Dw2upgZuTHoYpbPExof8QyZYE94MLD3
2025-06-19 13:51:06 UTC,828.571526,USDC,295.517726334,SUI,0.00122032,SUI,,,,Sui Tx,CYMnaJkrcfvPQeCp1ZtYLbdrbvTDWVXsMvA8TSVaf4ya
2025-06-19 13:51:17 UTC,232.714833783,SUI,652.654668,USDC,0.00417558,SUI,,,,Sui Tx,BKu3eCLfdA7oR6PMGUW9PeYg1NRbQ3xERbJ4mHPdH7hd
2025-06-19 13:51:50 UTC,220.007875172,SUI,,,0.007875172,SUI,,,,Sui Tx,Gd6VqHxKGTyBqQQ9troJzSDig4btDH3qubpXsrvDHcUu
2025-06-19 13:52:03 UTC,87.995908,USDC,31.32985564,SUI,0.020032744,SUI,,,,Sui Tx,CRoUYaRbZxcspscJiKsUW7BjYgVQw6hJb4Jpxuu6gRcs
2025-06-19 13:52:48 UTC,30.001265616,SUI,29.558592722,SPRING_SUI,0.001265616,SUI,,,,Sui Tx,6iuT7q3GDvqL9wZbCvmXsFr2dFpHy48RGid4mYWEwLNs
2025-06-19 13:53:13 UTC,29.558592722,SPRING_SUI,,,0.0088272,SUI,,,,Sui Tx,8GZJLdnjHeVVnSnFop6WCcxAvJ3uWodK44FbP9WBp2Fg
2025-06-19 13:53:49 UTC,,,299.974865784,SUI,0.025134216,SUI,,,,Sui Tx,GguSe4GpAVQTYeX2phY1cjCCWSnUnVJW5hMBsnQ8Vav7
2025-06-19 13:54:03 UTC,300.002079108,SUI,295.577806786,SPRING_SUI,0.002079108,SUI,,,,Sui Tx,G3tsnVXEeKhHkgX4VcxEVVXLnuyhK67ZibDbKn113WDX
2025-06-19 13:54:18 UTC,295.577806786,SPRING_SUI,,,0.013039804,SUI,,,,Sui Tx,7dbRsGDB5Ciav75s3FP2YLdaNnMuKetWsPdjEnXJfqMp
